,Title,Link,Author,Rating,Score
0,"The Hunger Games (The Hunger Games, #1)",https://goodreads.com/book/show/2767052-the-hunger-games,Suzanne Collins,4.33,"3,649,184"
1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,4.50,"3,040,005"
2,Pride and Prejudice,https://goodreads.com/book/show/1885.Pride_and_Prejudice,Jane Austen,4.28,"2,606,411"
3,To Kill a Mockingbird,https://goodreads.com/book/show/2657.To_Kill_a_Mockingbird,Harper Lee,4.26,"2,380,079"
4,The Book Thief,https://goodreads.com/book/show/19063.The_Book_Thief,Markus Zusak,4.39,"1,754,780"
5,"Twilight (The Twilight Saga, #1)",https://goodreads.com/book/show/41865.Twilight,Stephenie Meyer,3.65,"1,642,740"
6,Animal Farm,https://goodreads.com/book/show/170448.Animal_Farm,George Orwell,3.98,"1,517,234"
7,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,https://goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien,4.61,"1,437,175"
8,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",https://goodreads.com/book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,4.27,"1,409,046"
9,The Fault in Our Stars,https://goodreads.com/book/show/11870085-the-fault-in-our-stars,John Green,4.14,"1,295,139"
10,The Picture of Dorian Gray,https://goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,Oscar Wilde,4.12,"1,175,239"
11,Gone with the Wind,https://goodreads.com/book/show/18405.Gone_with_the_Wind,Margaret Mitchell,4.31,"1,153,138"
12,The Giving Tree,https://goodreads.com/book/show/370493.The_Giving_Tree,Shel Silverstein,4.38,"1,148,340"
13,Wuthering Heights,https://goodreads.com/book/show/6185.Wuthering_Heights,Emily Brontë,3.89,"1,140,198"
14,The Perks of Being a Wallflower,https://goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,Stephen Chbosky,4.23,"1,034,386"
15,Jane Eyre,https://goodreads.com/book/show/10210.Jane_Eyre,Charlotte Brontë,4.15,"1,021,447"
16,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,J.K. Rowling,4.47,"1,013,261"
17,The Great Gatsby,https://goodreads.com/book/show/4671.The_Great_Gatsby,F. Scott Fitzgerald,3.93,"978,375"
18,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://goodreads.com/book/show/28187.The_Lightning_Thief,Rick Riordan,4.30,"974,349"
19,The Little Prince,https://goodreads.com/book/show/157993.The_Little_Prince,Antoine de Saint-Exupéry,4.32,"971,441"
20,"The Da Vinci Code (Robert Langdon, #2)",https://goodreads.com/book/show/968.The_Da_Vinci_Code,Dan Brown,3.91,"969,252"
21,Alice's Adventures in Wonderland / Through the Looking-Glass,https://goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Lewis Carroll,4.06,"939,412"
22,Memoirs of a Geisha,https://goodreads.com/book/show/929.Memoirs_of_a_Geisha,Arthur Golden,4.15,"929,142"
23,Crime and Punishment,https://goodreads.com/book/show/7144.Crime_and_Punishment,Fyodor Dostoevsky,4.26,"921,998"
24,"Divergent (Divergent, #1)",https://goodreads.com/book/show/13335037-divergent,Veronica Roth,4.15,"918,967"
25,Les Misérables,https://goodreads.com/book/show/24280.Les_Mis_rables,Victor Hugo,4.20,"905,470"
26,Lord of the Flies,https://goodreads.com/book/show/7624.Lord_of_the_Flies,William Golding,3.69,"874,496"
27,Romeo and Juliet,https://goodreads.com/book/show/18135.Romeo_and_Juliet,William Shakespeare,3.74,"857,442"
28,"Anne of Green Gables (Anne of Green Gables, #1)",https://goodreads.com/book/show/8127.Anne_of_Green_Gables,L.M. Montgomery,4.30,"847,859"
29,"City of Bones (The Mortal Instruments, #1)",https://goodreads.com/book/show/256683.City_of_Bones,Cassandra Clare,4.07,"818,722"
30,The Help,https://goodreads.com/book/show/4667024-the-help,Kathryn Stockett,4.47,"797,347"
31,"Ender’s Game (Ender's Saga, #1)",https://goodreads.com/book/show/375802.Ender_s_Game,Orson Scott Card,4.31,"773,915"
32,Dracula,https://goodreads.com/book/show/17245.Dracula,Bram Stoker,4.01,"772,515"
33,Charlotte's Web,https://goodreads.com/book/show/24178.Charlotte_s_Web,E.B. White,4.20,"766,052"
34,Of Mice and Men,https://goodreads.com/book/show/890.Of_Mice_and_Men,John Steinbeck,3.88,"754,783"
35,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,4.23,"740,874"
36,The Alchemist,https://goodreads.com/book/show/18144590-the-alchemist,Paulo Coelho,3.91,"736,768"
37,The Catcher in the Rye,https://goodreads.com/book/show/5107.The_Catcher_in_the_Rye,J.D. Salinger,3.80,"720,584"
38,Fahrenheit 451,https://goodreads.com/book/show/13079982-fahrenheit-451,Ray Bradbury,3.97,"717,803"
39,Brave New World,https://goodreads.com/book/show/5129.Brave_New_World,Aldous Huxley,3.99,"710,523"
40,One Hundred Years of Solitude,https://goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,Gabriel García Márquez,4.11,"707,894"
41,A Thousand Splendid Suns,https://goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,Khaled Hosseini,4.43,"691,673"
42,The Time Traveler's Wife,https://goodreads.com/book/show/18619684-the-time-traveler-s-wife,Audrey Niffenegger,3.99,"690,378"
43,The Princess Bride,https://goodreads.com/book/show/21787.The_Princess_Bride,William Goldman,4.27,"674,058"
44,The Secret Garden,https://goodreads.com/book/show/2998.The_Secret_Garden,Frances Hodgson Burnett,4.15,"670,916"
45,"A Game of Thrones (A Song of Ice and Fire, #1)",https://goodreads.com/book/show/13496.A_Game_of_Thrones,George R.R. Martin,4.44,"653,934"
46,The Outsiders,https://goodreads.com/book/show/231804.The_Outsiders,S.E. Hinton,4.12,"642,472"
47,"A Wrinkle in Time (Time Quintet, #1)",https://goodreads.com/book/show/33574273-a-wrinkle-in-time,Madeleine L'Engle,3.98,"614,321"
48,Little Women,https://goodreads.com/book/show/1934.Little_Women,Louisa May Alcott,4.14,"599,605"
49,1984,https://goodreads.com/book/show/40961427-1984,George Orwell,4.19,"598,178"
50,The Odyssey,https://goodreads.com/book/show/1381.The_Odyssey,Homer,3.80,"583,575"
51,The Kite Runner,https://goodreads.com/book/show/77203.The_Kite_Runner,Khaled Hosseini,4.34,"563,069"
52,Frankenstein: The 1818 Text,https://goodreads.com/book/show/35031085-frankenstein,Mary Wollstonecraft Shelley,3.86,"562,006"
53,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,J.K. Rowling,4.62,"554,939"
54,The Lovely Bones,https://goodreads.com/book/show/12232938-the-lovely-bones,Alice Sebold,3.85,"551,588"
55,The Adventures of Huckleberry Finn,https://goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,Mark Twain,3.83,"550,222"
56,Where the Wild Things Are,https://goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Maurice Sendak,4.24,"548,778"
57,"The Giver (The Giver, #1)",https://goodreads.com/book/show/3636.The_Giver,Lois Lowry,4.12,"543,559"
58,"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://goodreads.com/book/show/38447.The_Handmaid_s_Tale,Margaret Atwood,4.13,"542,295"
59,Green Eggs and Ham,https://goodreads.com/book/show/23772.Green_Eggs_and_Ham,Dr. Seuss,4.31,"541,328"
60,Life of Pi,https://goodreads.com/book/show/4214.Life_of_Pi,Yann Martel,3.93,"533,116"
61,A Tale of Two Cities,https://goodreads.com/book/show/1953.A_Tale_of_Two_Cities,Charles Dickens,3.87,"528,256"
62,Lolita,https://goodreads.com/book/show/7604.Lolita,Vladimir Nabokov,3.88,"517,704"
63,"Dune (Dune, #1)",https://goodreads.com/book/show/44767458-dune,Frank Herbert,4.26,"503,262"
64,Slaughterhouse-Five,https://goodreads.com/book/show/4981.Slaughterhouse_Five,Kurt Vonnegut Jr.,4.09,"498,067"
65,Water for Elephants,https://goodreads.com/book/show/43641.Water_for_Elephants,Sara Gruen,4.11,"494,687"
66,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,J.K. Rowling,4.58,"472,974"
67,The Bell Jar,https://goodreads.com/book/show/6514.The_Bell_Jar,Sylvia Plath,4.05,"446,420"
68,Matilda,https://goodreads.com/book/show/39988.Matilda,Roald Dahl,4.33,"442,351"
69,The Stand,https://goodreads.com/book/show/149267.The_Stand,Stephen King,4.35,"440,840"
70,Catch-22,https://goodreads.com/book/show/168668.Catch_22,Joseph Heller,3.99,"434,210"
71,"The Pillars of the Earth (Kingsbridge, #1)",https://goodreads.com/book/show/5043.The_Pillars_of_the_Earth,Ken Follett,4.33,"419,390"
72,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",https://goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,Arthur Conan Doyle,4.30,"418,640"
73,"Watership Down (Watership Down, #1)",https://goodreads.com/book/show/76620.Watership_Down,Richard  Adams,4.08,"402,332"
74,Rebecca,https://goodreads.com/book/show/17899948-rebecca,Daphne du Maurier,4.24,"398,690"
75,Great Expectations,https://goodreads.com/book/show/2623.Great_Expectations,Charles Dickens,3.79,"397,366"
76,"Outlander (Outlander, #1)",https://goodreads.com/book/show/10964.Outlander,Diana Gabaldon,4.26,"384,411"
77,"The Girl with the Dragon Tattoo (Millennium, #1)",https://goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,Stieg Larsson,4.16,"384,028"
78,The Color Purple,https://goodreads.com/book/show/52892857-the-color-purple,Alice Walker,4.26,"378,530"
79,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://goodreads.com/book/show/61215351-the-fellowship-of-the-ring,J.R.R. Tolkien,4.39,"376,013"
80,One Flew Over the Cuckoo's Nest,https://goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,Ken Kesey,4.20,"375,823"
81,My Sister's Keeper,https://goodreads.com/book/show/10917.My_Sister_s_Keeper,Jodi Picoult,4.10,"363,507"
82,Anna Karenina,https://goodreads.com/book/show/15823480-anna-karenina,Leo Tolstoy,4.09,"362,550"
83,The Brothers Karamazov,https://goodreads.com/book/show/4934.The_Brothers_Karamazov,Fyodor Dostoevsky,4.36,"342,455"
84,A Tree Grows in Brooklyn,https://goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,Betty  Smith,4.29,"336,764"
85,A Clockwork Orange,https://goodreads.com/book/show/41817486-a-clockwork-orange,Anthony Burgess,4.00,"332,198"
86,The Road,https://goodreads.com/book/show/6288.The_Road,Cormac McCarthy,3.99,"325,500"
87,And Then There Were None,https://goodreads.com/book/show/16299.And_Then_There_Were_None,Agatha Christie,4.28,"312,187"
88,"The Golden Compass (His Dark Materials, #1)",https://goodreads.com/book/show/119322.The_Golden_Compass,Philip Pullman,4.02,"306,057"
89,"Vampire Academy (Vampire Academy, #1)",https://goodreads.com/book/show/345627.Vampire_Academy,Richelle Mead,4.11,"303,564"
90,"Angela's Ashes (Frank McCourt, #1)",https://goodreads.com/book/show/252577.Angela_s_Ashes,Frank McCourt,4.14,"303,204"
91,To Kill a Mockingbird,https://goodreads.com/book/show/2654.To_Kill_a_Mockingbird,Harper Lee,4.26,"303,177"
92,Siddhartha,https://goodreads.com/book/show/52036.Siddhartha,Hermann Hesse,4.06,"303,094"
93,It,https://goodreads.com/book/show/830502.It,Stephen King,4.25,"299,465"
94,"The Shining (The Shining, #1)",https://goodreads.com/book/show/11588.The_Shining,Stephen King,4.26,"296,003"
95,The Complete Stories and Poems,https://goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,Edgar Allan Poe,4.38,"293,757"
96,Don Quixote,https://goodreads.com/book/show/3836.Don_Quixote,Miguel de Cervantes Saavedra,3.89,"287,915"
97,"Interview with the Vampire (The Vampire Chronicles, #1)",https://goodreads.com/book/show/43763.Interview_with_the_Vampire,Anne Rice,4.02,"287,649"
98,The Poisonwood Bible,https://goodreads.com/book/show/7244.The_Poisonwood_Bible,Barbara Kingsolver,4.09,"285,294"
99,The Old Man and the Sea,https://goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,Ernest Hemingway,3.80,"282,962"
